researchTitle,program,dateStart,PrincipalInvestigator,dateEnd,coPI,bio
Collaborative Research: Trabecular bone ontogeny and locomotor development in humans and non-human primates,Biological Anthropology,2010-10-01,David Raichlen,2013-09-30,David Raichlen,"Analyses of bone structure in living and extinct primates typically assume a direct relationship between bone form and function even though the mechanisms of bone's adaptive response to loads is not fully understood. The primary objective of this project is collecting comparative age-related data on the development of bone from a number of locations in the postcranial skeleton of humans, chimpanzees, and macaques to test an explanatory model for the patterns of change associated with locomotor development in these species. This project quantifies the changes in trabecular bone microstructure and elastic properties during ontogeny in humans, chimpanzees, and macaques using high-resolution computed tomography (CT) scan data in the postcranial skeleton. The relative contributions of locomotor loading, body mass, sex, and age on the development of trabecular and cortical bone structure are examined, as are kinematic and kinetic analyses of locomotor ontogeny in a sample of juvenile modern humans to relate structural changes to changes in locomotion in humans. By quantifying the ontogenetic changes in bone structure across three different primates with divergent locomotor behaviors and developmental trajectories, the role of general developmental processes, genetic patterning, and the mechanical loading environment on bone structure are more clearly defined. The simultaneous analysis of locomotor development, bone structural and mechanical adaptations, and within and between species variation is unique and produces a more concrete understanding of bone functional morphology. Ultimately, this study will provide insight into the adaptive response of trabecular bone to mechanical loads and will provide important information regarding the functional utility of trabecular bone structure in the mammalian skeleton. <br/><br/>This study contributes to the training of undergraduate and graduate students at three universities, result in the production of a large comparative dataset of high-resolution CT and kinematic data for use by other researchers and for incorporation into the biological anthropology curriculum, has direct relevance for understanding the normal and pathological locomotor system in children and adults and will be of broad interest in orthopedics, internal medicine, bone metabolism, and biomechanics, and, finally, the results of this study will also contribute relevant data to the understanding of the prevalent health conditions of osteoporosis and osteoarthritis."
Neurobiological Rewards in the Evolution of Endurance Running in Humans and Cursorial Mammals,Biological Anthropology,2008-08-01,David Raichlen,2013-07-31,"Gregory Gerdeman, Andrea Giuffrida","Ever since Darwin, researchers have viewed the origins of bipedal walking as a defining event in human evolution. Recent research suggests that, while bipedal walking was an essential element of early hominin evolution, endurance running (ER) may have played an important role in the origins of the genus Homo. However, the ER hypothesis has not been fully tested and, given its possible significance for human evolution, deserves a more complete examination. This study presents a novel test of the ER hypothesis by examining the neurobiology of running in humans and running mammals. Human runners often report neurobiological rewards during and after running bouts (frequently termed the ""Runner's High"") that play a major role in both their motivation to run, and increase their ability to sustain high aerobic intensities over long distances. These neurobiological rewards include feelings of happiness, euphoria, well-being, anxiety reduction, and reduced pain sensation, which appear to be caused by the release of endocannabinoids (eCBs) into the bloodstream and brain. ECBs are endogenous compounds that activate cannabinoid receptors in both the peripheral and central nervous systems and lead to neurobiological rewards and pain reduction. It is possible that selection could have generated ER in several mammalian lineages by linking locomotor activities with eCB signaling and therefore, with neurobiological rewards. Evidence of the convergent evolution of neurobiological rewards for ER in humans and other cursorial mammals would strongly support the hypothesis that human ER capabilities are the products of natural selection. This study will test the hypothesis that exercise-induced eCB signaling evolved convergently in humans and cursorial mammals to motivate and reward running behaviors. ECB levels will be measured before and after running in a sample of cursorial mammals (humans and dogs) and non-cursorial mammals (mice and ferrets). The ER hypothesis will be supported if eCBs increase significantly after distance running in cursors compared to non-cursors. In addition, mood assessments will be given to human runners to examine the correlation between eCBs and neurobiological rewards.<br/><br/>This study will provide critical new data testing the hypothesis that endurance running played an important role in human evolution. This is the first study to examine the convergent evolution of neurobiological rewards for running in humans and other mammals and thus, represents a novel test of the ER hypothesis. If neurobiological rewards evolved convergently in humans and other mammalian cursors, then ER likely played an important role in human evolution. Additionally, this study will have important implications for the motivation and evolution of animal migration. Additionally, this study will have important implications for human mental health disorders. The mental health community has begun prescribing exercise to treat depression, anxiety, and other mental health disorders. Exercise may relieve depressive symptoms through endocannabinoid signaling since this pathway acts as an anti-depressant in animal models. This study will provide critical new information regarding how and why exercise may alleviate symptoms of these disorders. This study will also provide numerous training and research opportunities for graduate and undergraduate students at the University of Arizona and UC Riverside and will improve research infrastructure between the Departments of Anthropology and Pharmacology at the University of Arizona. Finally, this project will open new collaborations between the University of Arizona, University of Texas Health Science Center, San Antonio, and University of California at Riverside."
Collaborative Research: The Evolutionary Biology and Health Consequences of Human Inactivity,Biological Anthropology,2014-09-15,David Raichlen,2017-08-31,David Raichlen,"Recent research has associated sedentary living, and specifically, long periods of Western-style chair-sitting, with high levels of cardiovascular disease (CVD), suggesting that such behavior may be an important component of elevated rates of CVD-related morbidity and mortality in Western society. This increased risk has been attributed to a sitting-induced reduction in lower limb muscle activity, with concurrent decrease in the production of enzymes that siphon fat from the blood stream. Individuals in other cultures also are often inactive for long periods of time, yet do not seem to develop the same risk of CVD. It therefore is possible that styles of resting are more important than time spent sitting, and that people in other societies rest in ways that maintain muscle activity and thereby reduce cardiovascular disease risk. For example, it may be that squatting, potentially requiring levels of muscle activity similar to standing, is a prominent form of resting posture in non-Western societies which can be related to enhanced cardiovascular health. And as such resting behavior may have similarly characterized early human ancestors, the health costs associated with alteration in forms of resting posture also may have an evolutionary basis.<br/><br/> This research tests the hypothesis that the style of sitting in non-Western societies increases muscle activity and improves blood lipid profiles compared to Western-style sitting, thereby promoting beneficial health effects. Initial testing of this hypothesis will entail a field study of contemporary human hunter-gatherers (the Hadza people of Tanzania) in order to examine styles of rest and inactivity in traditionally-living humans. Second, focusing on a population of subjects experienced in squatting, a randomized crossover experimental design will be employed to measure muscle activity and changes in blood lipids following prolonged periods of squatting versus chair-sitting. Using these methods, the research will explore the evolutionary and contemporary human biology of resting postures in the context of health and well-being.<br/><br/> As the first study to explicitly examine human inactivity from a cross-cultural and evolutionary perspective, this project could transform our current understanding of how more sedentary lifestyles impacted functionality of modern human physiology. And in the assessment of the impact of such behavior on human biology relevant to disease and mortality rates in the US, this work also could find translation into behavioral interventions which improve public health in Western societies, as well as application in societies undergoing transitions to more Western-style inactivity patterns."
RAPID: Documenting Whistled Speech Among Chinantecans,"CULTURAL ANTHROPOLOGY, DEL",2011-05-01,David Yetman,2012-10-31,David Yetman,"Whistled speech encodes a spoken language into a language of musical pitch that can communicate across much greater distances than the voice can shout. Whistled languages have arisen in history in cultures with inhabiting landscapes so rugged as to make face-to-face communication economically and physically costly. They have been used by herders and agriculturalists and have even been used by militaries as secret codes, as when the Guanches of the Canary Islands rebelled against the Spanish in 1488. Whistled speech in Sochiàpam Chinantec [cso] of Cuicatlàn, Oaxaca, Mexico has quickly fallen out of use in the community. It once had a central role in the day-to-day governing of the town where it was used as a channel to carry information across a difficult landscape informing local government authorities and committees of the times and places for meetings and carrying news up and down the mountainsides. Long distance whistled language has now been replaced with walkie-talkies. Today there are only about 25 elder men capable of using the code fluently. <br/><br/>With support from the programs in Documenting Endangered Languages and Cultural Anthropology, this Rapid Response Research (RAPID) award will enable three researchers to carry out the documentation of a disappearing whistled language of Mexico and its cultural contexts of use. To respond to the serious endangerment and the absence of documentation an interdisciplinary team combining a cultural ecologist, an ethnographic linguist, and a videographer will record whistled speech in high-definition video and uncompressed audio, and work with Sochiàpam elders to transcribe the recordings. The investigators will host an educational workshop for the community during their work in Sochiàpam. The project materials will be useful for the speaker community in their efforts at cultural preservation, the intellectual community to understand how much of a language can remain perceptible when transformed into whistles, and to provide the raw video footage to develop a public television documentary, a valuable tool for educating the U.S. and Mexican publics about language endangerment."
NSF-Arizona Accelerator Facility for Radioisotope Analysis,"ARCHAEOLOGY, ARCHAEOMETRY, FACILITY SUPPORT, INSTRUMENTATION & FACILITIES, MARINE GEOLOGY AND GEOPHYSICS, CHEMICAL OCEANOGRAPHY, ANTARCTIC EARTH SCIENCES, ANTARCTIC GLACIOLOGY, ARCTIC NATURAL SCIENCES, INSTRUMENTATION DEVELOPMENT, OCEANOGRAPHIC TECHNICAL SERVCE, SPECIAL PROGRAMS-RESERVE",1989-07-01,Douglas Donahue,1992-12-31,Paul Damon,"This award provides approximately one-half of the funds required to operate the NSF-Arizona Accelerator Facility for Radioisotope Analysis on an annual basis. The rest of the annual operational funds are to be raised from user fees. The ""carbon-14"" method makes use of the known rate of radioactive decay of this carbon isotope and the well-determined systematics of its chemistry in the atmosphere-biosphere- lithosphere-hydrosphere cycles in order to use it as an extremely valuable tool in dating natural samples and artifacts in the 100- 60,000 year range. The accelerator facility supported by this award extends the use of the carbon-14 method to extremely small samples, samples with very small concentrations of carbon, or very old samples with very little carbon-14 content."
NSF Accelerator Facility for Radioisotope Analysis,"ANTHROPOLOGY, ARCHAEOMETRY, INSTRUMENTATION & FACILITIES, MARINE GEOLOGY AND GEOPHYSICS, CHEMICAL OCEANOGRAPHY, OCEANOGRAPHIC INSTRUMENTATION, INSTRUMENTATION DEVELOPMENT",1986-03-15,Douglas Donahue,1989-08-31,Paul Damon,
Cultural Patterns of Dealing with Conflict and Aggression inFinnish Families and Society,CULTURAL ANTHROPOLOGY,1997-09-15,Douglas Fry,1999-02-28,Douglas Fry,"This project involves a cultural anthropologist from the University of Arizona studying how Finnish society, which displays a marked egalitarian style of gender relations, deals with conflict and aggression. The project hypothesizes that egalitarian male-female relations have less physical and verbal aggression and more discussion, negotiation, and problem-solving than more unequal relationships, while in male-dominant relationships, the women is hypothesized to engage in more indirect aggression towards to the man than in female-dominated or egalitarian relationships. The project will use a combination of qualitative, ethnographic methods including participant-observation and informal, conversational interviews on conflict, semi-structured interviews or laypersons and experts about conflict resolution patterns and egalitarianism. This study should provide practical information as well as advance our understanding of the role of gender inequality in conflict and aggression."
"A Cross-Cultural Study of Conflict Prevention, Resolution, and Reconciliation",CULTURAL ANTHROPOLOGY,2003-07-01,Douglas Fry,2006-06-30,Douglas Fry,"Within the social sciences much more attention traditionally has been paid to the study of violence, aggression, and warfare than to the multitude of ways that people use to deal with conflicts successfully without violence. Within anthropology the use of cross-cultural methods to study of conflict prevention, resolution, and reconciliation is practically non-existent. In this project an anthropologist will investigate various kinds of conflict management processes, specifically, conflict prevention techniques, nonviolent beliefs, conflict resolution mechanisms, and reconciliation processes used in numerous societies. The project will ask: do certain psychocultural mechanisms prevent aggression within and between societies? Second, do beliefs favoring nonviolence contribute to low levels of internal and external aggression? Third, do certain conflict resolution mechanisms contribute to low levels of aggression within and between societies? Fourth, do conflict prevention and conflict resolution mechanisms have interactive effects? Finally, are reconciliation processes inversely related to internal and external aggression? <br/>To address these research questions, the investigator will utilize the ethnographic data in the Standard Cross-Cultural Sample (SCCS), an established data base on 186 societies worldwide, carefully selected to represent culture areas. In this study, 42 new descriptive and independent variables will be coded for the societies in the SCCS. These data codes then will be used to test specific hypotheses related to the central research questions. Published data codes for internal aggression (e.g., assaults, homicide) and external aggression (warfare) already exist for the societies in the SCCS and also will be utilized during data analysis. This study will provide new descriptive and cross-cultural frequency data on conflict prevention, resolution, and reconciliation mechanisms-topics that previously have received minimal attention-and also will advance anthropological understanding of conflict management by testing specific hypotheses regarding the effects of prevention mechanisms, nonviolent beliefs, conflict resolution techniques, and reconciliation processes on levels of internal and external aggression. The study is the first to examine reconciliation processes using cross-cultural data. <br/>The broader impacts include new knowledge on conflict management and reconciliation that has relevance for preventing and reducing violence and war. The findings on how violence is prevented and conflicts managed without violence across a worldwide spectrum of societies should provide some generalizable principles that could be very useful to policy-makers concerned with reducing violence. By investigating the human ability to prevent and manage conflict in ways that do not entail violence, this study provides a balancing perspective to numerous writings that place a one-sided emphasis on the human capacity for violence and war-making. An overemphasis on aggression can become a self-fulfilling prophecy as people become discouraged about the possibility of developing alternative approaches for handling conflict at various social levels. By contrast, a broad cross-cultural perspective on conflict management may contribute to the creative application of new approaches and strategies for the successful prevention and resolution conflicts within and between societies."
Doctoral Dissertation Improvement Grant: Studying Social Identity after Migration through Artifact Style of Everyday Objects,ARCHAEOLOGY,2014-05-01,E. Charles Adams,2016-06-30,Claire Barker,"The primary objective of this research is to understand the nature of social identity in communities that have experienced migration events and how the process of aggregation affects the differential expression of social identity on public and private scales. Given the present day extent of migration and large scale movement of people on a global scale, insight into how integration does - or does not take place - is of direct practical relevance. Archaeological examples permit such an examination within an extended time framework.<br/><br/>Under the guidance of Dr. E. Charles Adams, Claire S. Barker will explore the relationship between social identity, artifact style, and communities of practice in the late prehispanic U.S. Southwest. This research will investigate how the style associated with methods of manufacture can be an indicator of social identity. During the A.D. 1200s and 1300s, large-scale migration and aggregation into large settlements occurred throughout the U.S. Southwest. During this period of demographic upheaval, people were coming into contact and living with different, socially distant groups. Such a situation would bring diverse individual and community identities into contact and, potentially, conflict. This project will focus on three broad issues. How powerful was the process of social integration in aggregated communities? How does the social identity expressed through everyday household objects differ from the social identity expressed in objects that were used in public contexts? Is identity differently expressed at sites that experienced differing degrees of migration and aggregation? These issues will be explored through analysis of style in corrugated cooking pottery dating to the 13th and 14th century from the sites of the Homol'ovi settlement cluster located in Northeastern Arizona.<br/><br/>In archaeology, the study of social identity and cultural practice through ceramics largely has focused on decorated pottery. However, the importance of studying utility wares is often overlooked. By studying these issues through analysis of everyday objects, the detritus of commonplace domestic activity, the proposed research will demonstrate the value of the everyday for understanding the social lives of people and communities. By focusing on one settlement cluster and the sites contained therein, this project will approach identity formation and maintenance from a micro-regional, multi-scalar perspective that will produce a nuanced understanding of the effects of migration and aggregation on the expression of social identity. <br/><br/>This project will use collections held by the Arizona State Museum. Stewardship and preservation are among the most important principles of archaeological scholarship; in situ archaeological sites and artifacts are irreplaceable. By making use of existing archaeological collections, this project both preserves the in situ archaeological record and increases the attention given to the collections residing in the Arizona State Museum. This research will improve the availability of the information housed in these collections by collecting new data and synthesizing previously unpublished data. Further, this research will focus on sites and material culture associated with the ancestors of the modern Hopi tribe. A better understanding of the migration history of the Homol'ovi settlement cluster and the social processes that operated within and between the sites in the Homol'ovi settlement area will be significant both to scholars and to descendent communities. Finally, this research will contribute to a better understanding of migration, aggregation, and the processes of social integration, relevant to all societies, past and present."
"Sociopolitical Organizaton of Chevelon Ruin and the Homol'ovi Settlement Cluster, Northeastern Arizona",ARCHAEOLOGY,2002-09-15,E. Charles Adams,2006-12-31,E. Charles Adams,"With National Science Foundation support, Dr. E. Charles Adams and his colleagues will conduct three field seasons of archaeological research at Chevelon Ruin. Chevelon is the third largest member, at 500 rooms, of a cluster of ancestral Hopi settlements in northeastern Arizona collectively called the Homol'ovi cluster. This cluster was occupied from A.D. 1250-1400, a period of enormous political and social change in ancient Pueblo communities throughout the northern Southwest. This change is most clearly evident in increased average village size, which tripled to more than 500 rooms during the cluster's occupation. Excavation has been conducted in five other members of the Homol'ovi cluster enabling Adams and his colleagues to establish the local chronology and study details of village reorganization associated with village growth. Because the cluster is situated along the Little Colorado River and villages were dependent on stream flow for growing crops and drinking water, they were dependent on one another economically and probably interacted politically. Chevelon is located upstream from all but one of the other villages along Chevelon Creek, one of two permanent streams flowing into the Little Colorado River that provide water to the cluster. Chevelon differs from the other villages at Homol'ovi in having five to ten times more ceramics traded from villages 100 km east of the cluster. Either Chevelon had a unique trade relationship with these eastern villages or immigrants from these pueblos lived at Chevelon. The focus of the research will be to locate plaza spaces, abutment and bonding of walls, the presence and location of spinal room blocks, and the location of ritual structures at Chevelon using a total station and wall tracing followed by excavations. An important concept identified in previous excavations in Homol'ovi villages is what we term ""enriched deposits."" Enriched deposits have high quantities of whole and unusual objects and highly formalized deposits that are associated with ritual activity. The testing program will also look for deposits that have concentrations of exchanged pottery or riparian resources unique to the Chevelon area. The relationship of these deposits to architectural units within Chevelon should inform on the distribution of wealth within the community and the nature of groups or households controlling this wealth. Heterarchal, hierarchical, corporate, and communal models of village organization will be tested. In addition, the connection of the villages through sharing Little Colorado River water suggests cluster-level organization. The location of Chevelon along a permanent stream with potentially unique fauna and flora and its distinctive ceramic assemblage identify objects that could be exchanged with other cluster members. Tracing these objects to previously excavated villages will allow the team to assess the flow of these items from Chevelon to other cluster members and whether these follow patterns associated with confederacy or hierarchical models of cluster organization. The results of this research will inform archaeologists working in the Southwest and elsewhere on the material correlates and associated behaviors to power and sociopolitical organization within non-state societies and how these are expressed beyond the level of the village."
Dissertation Research: Analysis of Prehistoric Southwestern Ceramics,ARCHAEOLOGY,1998-08-15,E. Charles Adams,2000-07-31,E. Charles Adams,"Under the direction of Dr. E. Charles Adams, Mr. Patrick Lyons will collect data for his doctoral dissertation. He will conduct a ceramic analysis to reconstruct late prehistoric social organization in the Winslow, Arizona region and to determine points of origin of its inhabitants. Archaeologists have focused attention in the Winslow area because of the large number of ancestral Hopi villages present, their size, and the relative suddenness with which they appeared. Between 1,260 and 1,280 AD, after a 45 to 80 year hiatus, the region was apparently colonized by two populations, each building its own villages and bearing its own ceramic tradition. After initial contact, interaction seems to have increased, based on the presence of shared ceramic wares. Because a relatively high population density was achieved in this unpredictable desertic environment, and because groups developed integrating mechanisms across tightly defined cultural boundaries, they have been the subject of intensive archaeological interest. Abrupt clear cut appearances such as that postulated for the Winslow area are uncommon. The fact that in this case more than one group was involved offers the opportunity to study a well defined case of cultural interaction. Ceramics are usually well preserved and abundant in the archaeological record, and both their method of manufacture and decoration are determined by culture specific rules. Mr. Lyons will take advantage of this fact to compare ceramics from different villages around Winslow to determine the extent of differentiation at the time of supposed migration and the subsequent degree of stylistic intermingling. He will analyze whole ceramic vessels housed at the Field Museum in Chicago. He will also compare these to slightly earlier materials from neighboring regions in an attempt to determine points of origin. In collaboration of the University of Missouri nuclear reactor, he will conduct a trace element analysis of both potsherds and potential clay sources to match raw material source with finished product and reconstruct the extent of interaction among villages. This work will allow both cultural historical reconstruction as well as insight into the social and political organization of the region. It will also assist in training a promising young scientist. * - è- v- +- ±@ + _ —È?æãOh È' +'È?0 _ + ê $ H l + ¢ ? D h + R:\WWUSER\TEMPLATE\NORMAL.DOT"
Dissertation: Understanding Ritual Reorganization in Late Prehistoric Western Pueblos: A Case Study on Homol'ovi,ARCHAEOLOGY,2000-09-01,E. Charles Adams,2002-08-31,E. Charles Adams,"Under the direction of Dr. E. Charles Adams Mr. Vincent LaMotta will collect data for his doctoral dissertation. His goal is to understand the factors which permitted effective functioning and coordination of activities of late prehistoric period Pueblo people in the Four Corners region of the Southwestern USA. The period known as the Pueblo III-IV transition, beginning in the mid-13th century AD and continuing through the early 1400s was characterized throughout the northern Southwest by major demographic shifts. The Four Corners region was largely abandoned by 1300, populations having emigrated to a few large settlement clusters with some sites housing over a thousand people. By the mid 14th century, average settlement size had increased by up to 500% or more over levels of just 50-100 years before. Aggregated Pueblo IV communities departed radically from the more typical pattern of dispersed low-density settlements that characterized the prehistory of the region up to that time. While earlier Puebloan experiments with aggregated life were relatively short-lived, Pueblo IV community patterns persisted for centuries into the historic period. These characteristics of such communities have stimulated much debate about the social mechanisms that facilitated aggregation and integration. Several archaeologists have proposed that Puebloan peoples developed rituals which played a central role in effecting and sustaining this pattern. <br/><br/>For many years the Arizona State Museum has conducted excavation at a series of Homol'ovi sites which span this transitional period and these will form the basis for Mr. LaMotta's research. He believes that ""ritual sodalities"" observed in the ethnographic present emerged during the late prehistoric period and served an important integrating function. A ritual sodality is a ceremonial organization whose membership cross-cuts kinship lines and which typically performs public and semi-public rituals. The problem, as Mr. LaMotta notes is how to identify solidalities in the archaeological record and distinguish them from other types of family and kin based ritual groups which also were likely to exist. He has developed a series of criteria which serve this goal and with NSF support will supervise the analysis of excavated faunal and floral remains to determine whether, and when in the archaeological sequence the data conform to the expected pattern. This research is significant for the insight it will provide into how complex societies arise and are maintained. The work will also contribute to training a promising young scientist."
Dissertation Research: Prehistoric Ritual Technology: A Pueblo Case Study,ARCHAEOLOGY,1993-07-01,E. Charles Adams,1994-12-31,E. Charles Adams,"Under the direction of Dr. E. Charles Adams Mr. William Walker will collect data for his doctoral dissertation. He will participate in the excavation of a large or ""great kiva"" which is part of the Homol'ovi II site located in northeastern Arizona. The size of the kiva, ca. 11 m. by 6 m., makes it large both in Southwestern terms and also in relation to other ritual structures at the site. In the course of extensive excavation the site will be trenched to divide it into four quadrants which will be mapped and excavated in their entirety. Pollen and flotation samples will be collected from features and other locations to assess the ritual use of plants. The chronology of use will be determined through ceramic as well as tree ring and radiocarbon dating. In addition to the ceramic materials, lithic and groundstone artifacts as well as faunal and macrobotanical remains will be studied. In this way the history of the structure and its use can be reconstructed. In the centuries preceding Columbus complex societies developed in the U.S. Southwest. They were characterized by large population aggregations, construction of multistory ""apartment"" houses and of ritual structures. Archaeologists want to understand how complex societies develop and are maintained and for this reason have focussed on this Southwest phenomenon. Based both on archaeological and ethnographic evidence, it is known that religion played a central role both in social control and integration. Just how it functioned and changed over time however is unknown. Through a study of this grand kiva Mr. Walker will address this issue. Because ritual features are added over time the history of the structure and its use can potentially be reconstructed. This project is important for several reasons. It will increase our understanding of how complex societies emerge and are maintained. Mr. Walker also wants to develop new techniques both to excavate and to interpret architectural remains such as kivas and his work should set an example which may be applied in other parts of the world. Finally, the project will assist in the training of a promising young scientist."
Dissertation Research:Exchange and Production in the U. S. Southwest,ARCHAEOLOGY,1992-10-15,E. Charles Adams,1995-03-31,Laurie Webster,"Under the direction of Dr. Charles Adams, MS Laurie Webster will collect data for her doctoral dissertation. She will utilize archaeological and ethnographic materials as well as historical accounts to reconstruct the prehistoric and early historic Pueblo Indian system of textile production and exchange. She will visit a number of museums which house specimens and study the methods by which they were manufactured. Because of the dry Southwestern U.S. environment many textiles preserve well in archaeological contexts and therefore it is possible to gain information on prehistoric textile use. Extensive ethnographic collections also exist and therefore one can trace changes into historic times. Textiles played a very important role in Pueblo society. In addition to their utilitarian function they were widely used for religious and other symbolic purposes. They played a major economic role and social role. When the Spanish conquered the Pueblo peoples they reorganized textile production and in some areas established an industry. Textile manufacture was also affected in more indirect ways with the introduction of new materials, such as sheep wool, dyes and weaving implements. Ms. Webster's goal is to trace changes from the pre-Spanish through Spanish period. The ultimate purpose is not to understand textiles as textiles, but rather to use them to gain insight into the Pueblo economic and social systems and to learn how this indigenous group adapted to culture change. This research is important for several reasons. It will increase our understanding of the relationship between material culture and social/economic organization. It will shed new light on the American past and assist in the training of a promising young scientist."
Doctoral Dissertation Improvement Grant: The Role Of Material Culture In Social Identification,ARCHAEOLOGY,2014-07-01,E. Charles Adams,2016-06-30,Saul Hedquist,"Under the guidance of Dr. E. Charles Adams, Saul Hedquist will examine the social uses of turquoise and other blue-green minerals in the late prehispanic Western Pueblo region of the U.S. Southwest. Scholars have long recognized the importance of turquoise among past and present Pueblo groups. Despite knowledge of its long-lasting social and symbolic importance, however, late prehispanic patterns of turquoise use remain poorly understood. This research seeks to address this deficiency and illuminate associated identity structures through an interdisciplinary investigation of provenance, style, and deposition. The project incorporates archaeology, geochemistry, and ethnography in an effort to address a central research question: How did the circulation and use of turquoise vary throughout the late prehispanic Western Pueblo region, and what are the implications for understanding interactions and identity expressions within and among newly aggregated settlements and settlement clusters? The research gains fundamental importance for the insight it will provide on how societies at a ""simple"" level of social compxity are organized. In this case the specific issue is: how do multiple groups, often speaking different languages and with different sets of customs and beliefs become integrated into effectively functioning social units.<br/><br/>The project includes three primary components. First, a comprehensive geographic information systems (GIS) database of previously documented late prehispanic turquoise occurrences will be developed to examine: 1) the regional variety and distribution of stylistic traits; 2) the regional variety and distribution of documented depositional patterns; and 3) contextual associations between turquoise and other materials. Second, regional patterns of acquisition and exchange will be explored using measurements of lead and strontium isotopes. Recent pilot studies indicate turquoise from at least three geologic locales circulated throughout the Western Pueblo world during the late prehispanic period. Additional isotopic measurements will be used to clarify the regional spread of turquoise from these (and perhaps other) sources and expose potential networks of interaction. Third, consultation with Hopi and Zuni tribal members will aid interpretations of archaeological patterns and ensure Pueblo knowledge is accurately represented in scientific research.<br/><br/>The project will foster collaboration with descendent communities by directly incorporating Hopi and Zuni participation and perspectives. In addition, through exclusive use of existing museum collections, the project promotes research with minimal impact on the archaeological record. The project's database will integrate archival data spanning more than a century's worth of fieldwork. These data will be made available to qualified individuals through the Digital Archaeological Record (tDAR). Research results will be further disseminated through public talks, conference presentations, presentations to tribal members, and peer-reviewed publications. Displays and web-based modules will also be prepared for use in museums and K-12 curricula."
Collaborative Research: Bronze and Iron Age prehistory on the margins of the Eurasian Steppe: Modeling Interactions between Climate and Ancient Herders and Farmers,ARCHAEOLOGY,2011-06-15,Irina Panyushkina,2015-05-31,Irina Panyushkina,"With National Science Foundation support, Drs. Irina Panyushkina and Claudia Chang will conduct research to examine how climate, landscapes and prehistoric societies have interacted in Central Asia. This project involves expert collaborators and partnerships in the fields of archaeology, dendrochronology, paleoclimatology, palynology, ecology and hydrogeology in order to examine past climate changes and social transformations throughout a 2000-year prehistory of southern Kazakhstan. The research will generate new field-based datasets for modeling population dynamics, land use patterns in the grassland plains and forested mountains. The goal is to determine human response to climatic and environmental changes beginning at the transition from the Middle Bronze Age to the Late Bronze Age (ca. 1600 to 900 BC) and through the Iron Age (ca. 800 BC to AD 500). <br/><br/>The research is important because it will test the direct impact of climate change on ancient societies and cultures of the Eurasian Steppe. It will broaden perspectives on the nature of climate-human interactions which influenced the social evolution of the subsequent civilizations and led to the development of the modern world. <br/><br/>Archaeological data from Semirechye (the mountain zone of the Aral Basin) suggest that during the Late Bronze Age, small, dispersed populations of mobile pastoralists occupied the upland valleys and mountains near critical pasture and water resources. Later, in the first millennia BC, these marginal upland regions led to the formation of two distinct types of settlement: larger, aggregated populations of agro-pastoralists who utilized the fertile, arable land of alluvial fans and smaller, dispersed populations of transhumant pastoralists who relocated to high elevations. By ca. 100 AD, population density and storage capacity at villages was comparable to that of early sedentary farming villages in other world regions. A marked reduction in the number of Iron Age sites took place after AD 200 probably a result of out-migration or conflict. The research will interrelate the archaeological datasets with sophisticated reconstructions of climate variability. These integrated data shall provide key insights into the adaptive responses of ancient populations to climate and environmental changes. <br/><br/>This multi-disciplinary project includes: (1) archaeological survey and site testing; (2) geophysical settlement surveys using a magnetometer; (3) C14 wiggle-match and tree-ring dating; (4) multi-scale climate and environment reconstructions from tree-ring and pollen proxies, and corresponding ice-cores. The assembled lines of evidence will be used to estimate the impact of climate change on population size and landscape productivity in this region. Furthermore, it will document the social and economic factors within Iron Age society that led to possible environmental stress such as the depletion of water sources, wood fuel and soil fertility. <br/><br/><br/>The broader impacts include 1) graduate students' field and state-of-art training in the management and interpretation of large and complex data sets, and 2) strong international collaborations between the archaeological and environmental science communities of US, UK, Kazakhstan, Germany, Hungary and Russia."
